1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Identifier,Key_Value_Driver,KVDName,Client,Country,Product,Channel,Parent_Category,Child_Category,Metrics,MonthCY,MonthLY,MTDCYplan,MTDDifferenceActuals,MTDDev%Actuals,Deviation metrics,3 mnths Avg CY,3 mnths Avg LY,Dev %,YTD 2015,YTD 2014,PlanYTD2015,DifferenceYTDActuals,YTDDev %Actuals,MTDDifferenceplan,MTDDev%plan,YTDDifferencePlan,YTDDev%plan,month,month-1,month-2,month-3,month-4,month-5,month-6,month-7,month-8,month-9,month-10,month-11,month-12,month-13,month-14,month-15,month-16,month-17,month-18,month-19,month-20,month-21,month-22,month-23,month-24,,,
Fortuna#BonusCostAs%OfNetGrossWin#CZ#NA#Overall,Bonus Cost As % Of Net Gross Win,BonusCostAs%OfNetGrossWin,Fortuna,CZ,NA,Overall,Customer Model,Net Gross Win per Unique Active Player,%,2.33%,2.12%,-2.85%,0,9.90%,Positive,0.02,0.02,13.60%,3.00%,2.92%,2.90%,0,2.70%,0.05,-181.80%,0,3.60%,2.33%,1.65%,2.38%,0.57%,6.39%,4.69%,4.03%,2.75%,1.90%,1.57%,1.97%,1.80%,2.12%,0.84%,2.64%,3.69%,4.26%,4.09%,1.81%,5.03%,2.23%,0.02,0.03,0.04,0.01,,,
Fortuna#BonusCostPerActiveCustomer#CZ#NA#Overall,Bonus Cost Per Active Customer,BonusCostPerActiveCustomer,Fortuna,CZ,NA,Overall,Customer Management Cost,Customer Reinvestment Rate,CZ K,39.72,28.61,42.47,11.11,38.80%,Positive,37.46,26.75,40.00%,45.34,40.52,42.52,4.83,11.90%,-2.75,-6.50%,2.82,6.60%,39.72,30.8,41.87,8.38,81.08,59.73,53.62,41.44,30.66,22.28,30.62,27.45,28.61,15.31,36.33,54.53,65.62,38.86,25.62,58.96,31.78,26.39,43.76,49.79,17.26,,,
Fortuna#AcquisitionBonus%OfTotalBonus#CZ#NA#Overall,Acquisition Bonus % Of Total Bonus,AcquisitionBonus%OfTotalBonus,Fortuna,CZ,NA,Overall,Customer Management Cost,Customer Reinvestment Rate,%,44.11%,61.75%,33.64%,-0.18,-28.60%,Negative,0.31,0.44,-31.00%,41.80%,52.10%,42.90%,-0.1,-19.80%,0.1,31.10%,-0.01,-2.50%,44.10%,26.90%,20.70%,-164.00%,66.60%,50.10%,33.90%,34.20%,44.80%,0.00%,0.00%,0.00%,61.80%,52.10%,19.00%,-18.60%,96.30%,80.40%,69.90%,20.70%,42.50%,0.61,0.64,0.18,0.55,,,
Fortuna#RetentionBonusAs%OfTotalBonus#CZ#NA#Overall,Retention Bonus As % Of Total Bonus,RetentionBonusAs%OfTotalBonus,Fortuna,CZ,NA,Overall,Customer Management Cost,Customer Reinvestment Rate,%,50.15%,41.16%,53.03%,0.09,21.80%,Positive,0.52,0.39,32.10%,55.00%,47.30%,53.10%,0.08,16.10%,-0.03,-5.40%,0.02,3.50%,50.20%,45.30%,60.00%,41.60%,87.90%,75.50%,94.90%,70.10%,40.00%,26.30%,41.80%,39.30%,41.20%,20.10%,56.50%,70.70%,73.40%,60.50%,72.40%,29.90%,33.50%,0.39,0.36,0.82,0.45,,,
Fortuna#MarketingSpend#CZ#NA#Overall,Marketing Spend,MarketingSpend,Fortuna,CZ,NA,Overall,Customer Management Cost,Customer Acquisition Cost,CZ K,-8637087,-10151404.72,-9262582.2,1514317.72,-14.90%,Positive,6071690.75,7830877.35,-22.50%,-101328465.8,-83669886.43,-104651042.4,-17658579.36,21.10%,625495.2,-6.80%,3322576.64,-3.20%,8637087,5120478.88,4457506.37,5756545.76,21881079.56,24647943.27,12943549.58,11488261.95,6396013.42,9840974.16,8694439.96,6418377.23,10151404.72,4362302.3,8978925.02,12184984.27,13855126.94,15161224.05,4503091.12,9972695,4500133.01,15011540.45,10805417.77,8539822.95,2859796.01,,,
Fortuna#MarketingSpendNon-Affiliate#CZ#NA#Overall,Marketing Spend Non-Affiliate,MarketingSpendNon-Affiliate,Fortuna,CZ,NA,Overall,Customer Management Cost,Customer Acquisition Cost,CZ K,8419652.27,10016341.92,-9092582.2,-1596689.65,-15.90%,Negative,5917197.51,7710503.1,-23.30%,99602122.47,82551409.8,-105872657.2,17050712.67,20.70%,17512234.47,-192.60%,205474779.7,-194.10%,8419652.27,4966574.95,4365365.32,5291764.75,21798152.12,24284402.9,12837951.32,11392245.42,6246013.42,9262974.16,8511335.12,6294906.04,10016341.92,4240633.72,8874533.67,11873642.9,13715210.16,15063566.44,4359276.24,9908071.74,4500133.01,14943093.1,10725217.18,8337382.54,2816597.39,,,
Fortuna#MarketingSpendAffiliate#CZ#NA#Overall,Marketing Spend Affiliate,MarketingSpendAffiliate,Fortuna,CZ,NA,Overall,Customer Management Cost,Customer Acquisition Cost,CZ K,217434.73,135062.8,170000,82371.93,61.00%,Positive,154493.24,120374.24,28.30%,-1726343.32,-1118476.63,-1221614.79,-607866.69,54.30%,47434.73,27.90%,-504728.53,41.30%,217434.73,153903.93,92141.05,464781.01,82927.44,363540.37,105598.26,96016.53,150000,578000,183104.84,123471.19,135062.8,121668.58,104391.35,311341.37,139916.78,97657.61,143814.88,64623.26,0,68447.35,80200.59,202440.41,43198.62,,,
Fortuna#AffiliateCostAs%OfNetGrossWin#CZ#NA#Overall,Affiliate Cost As % Of Net Gross Win,AffiliateCostAs%OfNetGrossWin,Fortuna,CZ,NA,Overall,Customer Management Cost,Customer Acquisition Cost,%,0.19%,0.15%,N/A,0,26.30%,Positive,0,0,14.50%,11%,9%,11%,0.02,16.60%,N/A,N/A,-0.01,-6.90%,0.19%,0.14%,0.10%,0.55%,0.07%,0.39%,0.11%,0.09%,0.14%,0.61%,0.16%,0.11%,0.15%,0.11%,0.11%,0.27%,0.12%,0.15%,0.14%,0.07%,0.00%,0.05%,0.07%,0.22%,0.04%,,,
Fortuna#AverageCostPerAcquisition(CPA)#CZ#NA#Overall,Average Cost Per Acquisition (CPA),AverageCostPerAcquisition(CPA),Fortuna,CZ,NA,Overall,Customer Acquisition Cost,Customer Acquisition Cost,CZ K,5619.73,5123.64,N/A,496.1,9.70%,Positive,4768.83,3896.83,22.40%,44106.58,30846.67,N/A,13259.91,43.00%,N/A,N/A,N/A,N/A,5619.73,4036.06,4650.68,3218.46,4701.4,9623.19,4697.4,4722.89,2836.76,4467.08,3208.28,2260.79,5123.64,2673.31,3893.54,2459.43,4738.18,6497.84,1759.64,1998.27,1702.83,4167.94,3397.67,3951.13,1923.9,,,
Fortuna#PVToCPARatio(24MonthsValue)#CZ#NA#Overall,PV To CPA Ratio (24 Months Value),PVToCPARatio(24MonthsValue),Fortuna,CZ,NA,Overall,Customer Acquisition Cost,Customer Acquisition Cost,Ratio,-0.03,-0.46,N/A,0.43,-93.10%,Negative,0.7,1.55,-55.00%,13.58,31.45,N/A,-17.87,-56.80%,N/A,N/A,N/A,N/A,-0.03,0.38,1.74,1.85,1.39,2.03,2.14,1.36,2.73,1.16,3.61,2.3,-0.46,1.15,3.95,9.65,1.77,0.36,5.37,3.01,6.66,0,0,0,0,,,
